name,price,status,shipping,free_returns,items_sold
IVANKA TRUMP SIGNED AUTOGRAPHED KEEP AMERICA GREAT TRUMP HAT DONALD JSA COA RARE,25999,Brand New,900,False,
Donald J Trump Jr Don Jr Signed Campaign Sign 2020 MAGA Autograph Last 1,9999,,1300,False,
RARE DONALD TRUMP POTUS SIGNED AUTOGRAPHED MINI HELMET USFL GENERALS H WALKER,699969,,0,False,
PRESIDENT DONALD TRUMP SIGNED $1 BILL UNITED STATES 2024 AMERICA WHITE HOUSE JSA,199999,,1499,False,
DONALD TRUMP SIGNED  HAT MAKE AMERICA GREAT AGAIN JSA GET A PIECE OF HISTORY !!,159999,Pre-Owned,2199,False,
PRESIDENT DONALD J. TRUMP SIGNED 11x14 PHOTO BECKETT COA MAKE AMERICA GREAT 2024,249999,,0,False,
JOE BIDEN Signed Autograph 8x10 CANDID Original 1 of a kind PRESIDENTIAL JSA,99999,,1950,False,
GOATPOTUS President Donald Trump Autographed Signed Baseball MAGA 45 POTUS + COA,90000,Brand New,2499,False,
"President Donald Trump signed ""Build The Wall"" Quote Sheet Cut JSA LOA Rare Z791",249900,,1989,False,
Donald Trump autographed 3x5 index card,22000,Pre-Owned,600,False,
DONALD TRUMP JR SIGNED AUTOGRAPHED KEEP AMERICA GREAT HAT 2020 MAGA COA !,26995,Brand New,1000,False,0
DONALD TRUMP JR SIGNED RED TIE MAKE AMERICA GREAT AGAIN MAGA 2020 PROOF JSA COA,23999,,600,False,
Magnificent President Donald Trump Full Name Signed Large 20x30 Photo JSA MINT 9,999500,,0,False,
Donald Trump & Mike Pence Signed MAGA Hat Official Cali Fame JSA Rare President,450000,Brand New,0,False,
PRESIDENT DONALD TRUMP SIGNED AUTOGRAPHED “THE APPRENTICE” CARD CAS AUTHENTIC,149995,,495,False,
🇺🇲 DONALD TRUMP JR. BOOK LIBERAL PRIVILEGE SIGNED W/COA·MAGA FUTURE PRES? 🇺🇲,8955,Brand New,1095,False,
Donald Trump Jr Signed 8x10 Photo PSA/DNA President DONALD TRUMP’s Son MAGA USA,24999,Brand New,0,False,
Unbelievable By Katy Tur NBC MSNBC Signed/Autographed Donald Trump HC/DJ,1399,Pre-Owned,385,False,
Donald Trump Signed Playboy PSA COA 45th President,325000,Brand New,0,False,
